,Classifier,Fold No,Metric,Score
0,svm,0,simple_accuracy,0.89638007
1,svm,0,balanced_accuracy,0.88543934
2,svm,0,precision,0.8966576
3,svm,0,sensitivity,0.89638007
4,svm,0,f1_score,0.89558196
5,svm,0,mcc,0.84045535
