,Fold No,Metric,Score
0,0,simple_accuracy,0.8797525
1,0,balanced_accuracy,0.89668924
2,0,precision,0.880858
3,0,sensitivity,0.8797525
4,0,f1_score,0.8799558
5,0,mcc,0.81807256
