,Classifier,Fold No,Metric,Score
0,svm,0,simple_accuracy,0.977639
1,svm,0,balanced_accuracy,0.943951
2,svm,0,precision,0.974124
3,svm,0,sensitivity,0.89278656
4,svm,0,f1_score,0.9316834
5,svm,0,mcc,0.9195931
