,Fold No,Metric,Score
0,0,simple_accuracy,0.9055776
1,0,balanced_accuracy,0.9144263
2,0,precision,0.65871626
3,0,sensitivity,0.9278656
4,0,f1_score,0.77046156
5,0,mcc,0.7297485
