,Fold No,Metric,Score
0,0,simple_accuracy,0.6698169
1,0,balanced_accuracy,0.57872874
2,0,precision,0.7173386
3,0,sensitivity,0.6698169
4,0,f1_score,0.618526
5,0,mcc,0.4963249
