,Fold No,Metric,Score
0,0,simple_accuracy,0.505316
1,0,balanced_accuracy,0.30552614
2,0,precision,0.49139455
3,0,sensitivity,0.505316
4,0,f1_score,0.43029588
5,0,mcc,0.14962962
