,Fold No,Metric,Score
0,0,simple_accuracy,0.69220316
1,0,balanced_accuracy,0.7415046
2,0,precision,0.3353217
3,0,sensitivity,0.81639004
4,0,f1_score,0.47538507
5,0,mcc,0.36881945
