,Fold No,Metric,Score
0,0,simple_accuracy,0.9010632
1,0,balanced_accuracy,0.90739495
2,0,precision,0.64888674
3,0,sensitivity,0.91701245
4,0,f1_score,0.75999427
5,0,mcc,0.7165753
