,Fold No,Metric,Score
0,0,simple_accuracy,0.48157117
1,0,balanced_accuracy,0.25
2,0,precision,0.2319108
3,0,sensitivity,0.48157117
4,0,f1_score,0.3130606
5,0,mcc,0.0
