,Classifier,Fold No,Metric,Score
0,NN1,0,simple_accuracy,0.87950385
1,NN1,0,balanced_accuracy,0.89007354
2,NN1,0,precision,0.5970052
3,NN1,0,sensitivity,0.9061265
4,NN1,0,f1_score,0.7197802
5,NN1,0,mcc,0.6699757
6,NN2,0,simple_accuracy,0.8761286
7,NN2,0,balanced_accuracy,0.8852921
8,NN2,0,precision,0.59014267
9,NN2,0,sensitivity,0.8992095
10,NN2,0,f1_score,0.7126077
11,NN2,0,mcc,0.6609265
12,NN3,0,simple_accuracy,0.73225886
13,NN3,0,balanced_accuracy,0.6327901
14,NN3,0,precision,0.3146176
15,NN3,0,sensitivity,0.48171937
16,NN3,0,f1_score,0.38063633
17,NN3,0,mcc,0.22742957
18,NN4,0,simple_accuracy,0.17188422
19,NN4,0,balanced_accuracy,0.49928835
20,NN4,0,precision,0.17058524
21,NN4,0,sensitivity,0.9965415
22,NN4,0,f1_score,0.2913056
23,NN4,0,mcc,-0.011234266
24,NN5,0,simple_accuracy,0.17078727
25,NN5,0,balanced_accuracy,0.5
26,NN5,0,precision,0.17078727
27,NN5,0,sensitivity,1.0
28,NN5,0,f1_score,0.29174775
29,NN5,0,mcc,0.0
30,NN6,0,simple_accuracy,0.17078727
31,NN6,0,balanced_accuracy,0.5
32,NN6,0,precision,0.17078727
33,NN6,0,sensitivity,1.0
34,NN6,0,f1_score,0.29174775
35,NN6,0,mcc,0.0
