,Fold No,Metric,Score
0,0,simple_accuracy,0.32876712
1,0,balanced_accuracy,0.26307312
2,0,precision,0.338602
3,0,sensitivity,0.32876712
4,0,f1_score,0.33333144
5,0,mcc,-0.009146418
