,Classifier,Fold No,Metric,Score
0,svm,0,simple_accuracy,0.9266729
1,svm,0,balanced_accuracy,0.9282482
2,svm,0,precision,0.9271084
3,svm,0,sensitivity,0.9266729
4,svm,0,f1_score,0.9263438
5,svm,0,mcc,0.8875648
