,Fold No,Metric,Score
0,0,simple_accuracy,0.86839104
1,0,balanced_accuracy,0.8879449
2,0,precision,0.8711265
3,0,sensitivity,0.86839104
4,0,f1_score,0.86874616
5,0,mcc,0.80237824
