,Fold No,Metric,Score
0,0,simple_accuracy,0.8523331
1,0,balanced_accuracy,0.84446293
2,0,precision,0.54425067
3,0,sensitivity,0.8325099
4,0,f1_score,0.6582031
5,0,mcc,0.5901463
